mod,name,itemid,metadata,aer,alienis,aqua,arbor,auram,bestia,cognitio,corpus,desidia,exanimis,fabrico,fames,gelum,gula,herba,humanus,ignis,infernus,instrumentum,invidia,ira,iter,limus,lucrum,lux,machina,messis,metallum,meto,mortuus,motus,ordo,pannus,perditio,perfodio,permutatio,potentia,praecantatio,sano,sensus,spiritus,superbia,telum,tempestas,tenebrae,terra,tutamen,vacuos,venenum,victus,vinculum,vitium,vitreus,volatus
minecraft,noteblock,25,0,4,,,6,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,4,,,,,,,,,,,,,,
minecraft,golden_rail,27,0,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,
minecraft,detector_rail,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,,,,,,,,,,,,1,,,,,,,,,,,,,,
minecraft,sticky_piston,29,0,,,,,,,,,,,,,,,,,,,,,,,1,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
minecraft,web,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,
minecraft,tallgrass,31,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
minecraft,tallgrass,31,2,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
minecraft,deadbush,32,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
minecraft,piston,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,2,,4,,,4,,,,,,,,,,,,,,,,,,,,,,,
minecraft,wool,35,0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
minecraft,wool,35,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
minecraft,wool,35,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
minecraft,wool,35,3,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
minecraft,wool,35,4,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
minecraft,wool,35,5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
minecraft,wool,35,6,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
minecraft,wool,35,7,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
minecraft,wool,35,8,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
minecraft,wool,35,9,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
minecraft,wool,35,10,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
minecraft,wool,35,11,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
minecraft,wool,35,12,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
minecraft,wool,35,13,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
minecraft,wool,35,14,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
minecraft,wool,35,15,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
minecraft,yellow_flower,37,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,
minecraft,red_flower,38,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,
minecraft,red_flower,38,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,
minecraft,red_flower,38,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,
minecraft,red_flower,38,3,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,
minecraft,red_flower,38,4,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,
minecraft,red_flower,38,5,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,
minecraft,red_flower,38,6,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,
minecraft,red_flower,38,7,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,
minecraft,red_flower,38,8,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,
minecraft,brown_mushroom,39,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,
minecraft,red_mushroom,40,0,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
minecraft,gold_block,41,0,,,,,,,,,,,,,,,,,,,,,,,,13,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,
minecraft,iron_block,42,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,
minecraft,stone_slab,44,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,
minecraft,stone_slab,44,4,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
minecraft,stone_slab,44,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,
minecraft,brick_block,45,0,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,
minecraft,tnt,46,0,,,,,,,,,,,,,,,,,15,,,,2,,,,,,,,,,,,,18,,,,,,,,,,,,3,,,,,,,,
minecraft,bookshelf,47,0,,,,4,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
minecraft,mossy_cobblestone,48,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,
minecraft,obsidian,49,0,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,
minecraft,torch,50,0,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
minecraft,fire,51,0,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
minecraft,mob_spawner,52,3,,,,,,4,,,,4,,,,,,,,,,,,4,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
minecraft,mob_spawner,52,4,,,,,,4,,,,4,,,,,,,,,,,,4,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
minecraft,mob_spawner,52,5,,,,,,4,,,,4,,,,,,,,,,,,4,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
minecraft,mob_spawner,52,6,,,,,,4,,,,4,,,,,,,,,,,,4,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
minecraft,mob_spawner,52,7,,,,,,4,,,,4,,,,,,,,,,,,4,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
minecraft,mob_spawner,52,23,,,,,,4,,,,4,,,,,,,,,,,,4,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
minecraft,mob_spawner,52,24,,,,,,4,,,,4,,,,,,,,,,,,4,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
minecraft,mob_spawner,52,25,,,,,,4,,,,4,,,,,,,,,,,,4,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
minecraft,mob_spawner,52,26,,,,,,4,,,,4,,,,,,,,,,,,4,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
minecraft,mob_spawner,52,27,,,,,,4,,,,4,,,,,,,,,,,,4,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
minecraft,mob_spawner,52,28,,,,,,4,,,,4,,,,,,,,,,,,4,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
minecraft,mob_spawner,52,29,,,,,,4,,,,4,,,,,,,,,,,,4,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
minecraft,mob_spawner,52,30,,,,,,4,,,,4,,,,,,,,,,,,4,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
minecraft,mob_spawner,52,31,,,,,,4,,,,4,,,,,,,,,,,,4,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
minecraft,mob_spawner,52,32,,,,,,4,,,,4,,,,,,,,,,,,4,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
minecraft,mob_spawner,52,33,,,,,,4,,,,4,,,,,,,,,,,,4,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
minecraft,mob_spawner,52,34,,,,,,4,,,,4,,,,,,,,,,,,4,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
minecraft,mob_spawner,52,35,,,,,,4,,,,4,,,,,,,,,,,,4,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
minecraft,mob_spawner,52,36,,,,,,4,,,,4,,,,,,,,,,,,4,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
minecraft,mob_spawner,52,37,,,,,,4,,,,4,,,,,,,,,,,,4,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
minecraft,mob_spawner,52,38,,,,,,4,,,,4,,,,,,,,,,,,4,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
minecraft,mob_spawner,52,39,,,,,,4,,,,4,,,,,,,,,,,,4,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
minecraft,mob_spawner,52,50,,,,,,4,,,,4,,,,,,,,,,,,4,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
minecraft,mob_spawner,52,51,,,,,,4,,,,4,,,,,,,,,,,,4,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
minecraft,mob_spawner,52,52,,,,,,4,,,,4,,,,,,,,,,,,4,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
minecraft,mob_spawner,52,53,,,,,,4,,,,4,,,,,,,,,,,,4,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
minecraft,mob_spawner,52,54,,,,,,4,,,,4,,,,,,,,,,,,4,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
minecraft,mob_spawner,52,55,,,,,,4,,,,4,,,,,,,,,,,,4,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
minecraft,mob_spawner,52,56,,,,,,4,,,,4,,,,,,,,,,,,4,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
minecraft,mob_spawner,52,57,,,,,,4,,,,4,,,,,,,,,,,,4,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
minecraft,mob_spawner,52,58,,,,,,4,,,,4,,,,,,,,,,,,4,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
minecraft,mob_spawner,52,59,,,,,,4,,,,4,,,,,,,,,,,,4,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
minecraft,mob_spawner,52,60,,,,,,4,,,,4,,,,,,,,,,,,4,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
minecraft,mob_spawner,52,61,,,,,,4,,,,4,,,,,,,,,,,,4,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
minecraft,mob_spawner,52,62,,,,,,4,,,,4,,,,,,,,,,,,4,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
minecraft,mob_spawner,52,64,,,,,,4,,,,4,,,,,,,,,,,,4,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
minecraft,mob_spawner,52,65,,,,,,4,,,,4,,,,,,,,,,,,4,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
minecraft,mob_spawner,52,66,,,,,,4,,,,4,,,,,,,,,,,,4,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
minecraft,mob_spawner,52,67,,,,,,4,,,,4,,,,,,,,,,,,4,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
minecraft,mob_spawner,52,68,,,,,,4,,,,4,,,,,,,,,,,,4,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
minecraft,mob_spawner,52,71,,,,,,4,,,,4,,,,,,,,,,,,4,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
minecraft,mob_spawner,52,72,,,,,,4,,,,4,,,,,,,,,,,,4,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
minecraft,mob_spawner,52,73,,,,,,4,,,,4,,,,,,,,,,,,4,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
minecraft,mob_spawner,52,74,,,,,,4,,,,4,,,,,,,,,,,,4,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
minecraft,mob_spawner,52,90,,,,,,4,,,,4,,,,,,,,,,,,4,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
minecraft,mob_spawner,52,91,,,,,,4,,,,4,,,,,,,,,,,,4,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
minecraft,mob_spawner,52,92,,,,,,4,,,,4,,,,,,,,,,,,4,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
minecraft,mob_spawner,52,93,,,,,,4,,,,4,,,,,,,,,,,,4,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
minecraft,mob_spawner,52,94,,,,,,4,,,,4,,,,,,,,,,,,4,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
minecraft,mob_spawner,52,95,,,,,,4,,,,4,,,,,,,,,,,,4,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
minecraft,mob_spawner,52,96,,,,,,4,,,,4,,,,,,,,,,,,4,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
minecraft,mob_spawner,52,97,,,,,,4,,,,4,,,,,,,,,,,,4,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
minecraft,mob_spawner,52,98,,,,,,4,,,,4,,,,,,,,,,,,4,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
minecraft,mob_spawner,52,99,,,,,,4,,,,4,,,,,,,,,,,,4,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
minecraft,mob_spawner,52,100,,,,,,4,,,,4,,,,,,,,,,,,4,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
minecraft,mob_spawner,52,120,,,,,,4,,,,4,,,,,,,,,,,,4,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
minecraft,oak_stairs,53,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
minecraft,chest,54,0,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,
minecraft,diamond_ore,56,0,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,3,
minecraft,diamond_block,57,0,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,
minecraft,crafting_table,58,0,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
minecraft,farmland,60,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,
minecraft,furnace,61,0,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,6,,,,,,,,
minecraft,lit_furnace,62,0,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
minecraft,ladder,65,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
minecraft,rail,66,0,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
minecraft,stone_stairs,67,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
minecraft,lever,69,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
minecraft,stone_pressure_plate,70,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,3,,,,,,,,
minecraft,wooden_pressure_plate,72,0,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
minecraft,redstone_ore,73,0,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,
minecraft,redstone_torch,76,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
minecraft,stone_button,77,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
minecraft,snow_layer,78,0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
minecraft,ice,79,0,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
minecraft,snow,80,0,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
minecraft,cactus,81,0,,,1,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
minecraft,clay,82,0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,
minecraft,jukebox,84,0,4,,,6,,,,,,,,,,,,,,,,,,,,3,,2,,,,,,,,,,,,,,4,,,,,,,,,,,,,3,
minecraft,fence,85,0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
minecraft,pumpkin,86,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
minecraft,netherrack,87,0,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
minecraft,soul_sand,88,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,1,,,
minecraft,glowstone,89,0,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
minecraft,portal,90,0,,,,,,,,,,,,,,,,,4,4,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
minecraft,lit_pumpkin,91,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
minecraft,stained_glass,95,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
minecraft,stained_glass,95,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
minecraft,stained_glass,95,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
minecraft,stained_glass,95,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
minecraft,stained_glass,95,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
minecraft,stained_glass,95,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
minecraft,stained_glass,95,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
minecraft,stained_glass,95,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
minecraft,stained_glass,95,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
minecraft,stained_glass,95,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
minecraft,stained_glass,95,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
minecraft,stained_glass,95,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
minecraft,stained_glass,95,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
minecraft,stained_glass,95,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
